"","patch","area_m2","longitude","latitude"
"313",481,60,658973.602503593,5212405.18338016
"314",485,2030,658343.426217244,5212390.02277647
"315",487,7,659068.097519777,5212405.87622662
"316",488,119,659139.699402654,5212400.04438376
"317",489,7693,659443.055308478,5212299.33659794
"318",492,1,659128.530517403,5212403.73340251
"319",493,8,659072.526415584,5212401.23344106
"320",494,180,658657.462682407,5212393.99466377
"321",495,352,658746.508219377,5212388.50636455
"322",496,3,659129.530590649,5212400.73344877
"323",499,213,659376.318618799,5212392.76643545
"324",500,2,659069.026159221,5212399.23347189
"325",501,7,658978.376662783,5212398.0192049
"326",502,1,658879.512278961,5212397.73349502
"327",503,113,659244.733718552,5212392.20260684
"328",504,9,659444.220305628,5212394.06688488
"329",510,54,659206.369551775,5212390.45582945
"330",515,11,659114.165828949,5212390.09724912
"331",516,4,659153.532348571,5212391.48359138
"332",517,1,658737.501877922,5212391.73358753
"333",518,15,658991.987183446,5212388.73363378
"334",519,92,659040.121868317,5212383.60327809
"335",520,25,658647.135259345,5212384.89369298
"336",522,10,659073.426481507,5212386.93366153
"337",523,25,659121.249984167,5212386.93366153
"338",524,46,659282.693982462,5212384.69021786
"339",525,1,659440.55337039,5212387.7336492
"340",526,1659,658408.588095234,5212349.8903508
"341",527,26,658986.327794585,5212382.34911683
"342",529,46,659270.671362778,5212382.14677881
"343",531,72,659358.047327533,5212380.78931181
"344",532,656,659134.422717248,5212370.50982938
"345",533,1,659347.546558442,5212382.73372628
"346",535,55,658241.247349733,5212378.09743413
"347",536,2,658250.966243377,5212381.7337417
"348",537,107,658261.616556131,5212371.72455023
"349",539,77,659000.897792781,5212377.62990887
"350",542,2,659429.052528052,5212381.7337417
"351",550,15,659092.661223619,5212377.00048134
"352",551,3,658755.836554112,5212379.40044434
"353",552,2,659382.049085454,5212379.23378024
"354",553,955,659195.990955681,5212358.0712793
"355",554,40,659477.406069533,5212376.00882997
"356",555,13,658780.889671089,5212375.04153719
"357",559,1,659261.540259221,5212377.73380337
"358",560,14,658977.519457143,5212374.09100239
"359",561,3,658856.177236537,5212375.06717782
"360",562,9,658864.955657258,5212375.17828721
"361",563,1,659087.527514286,5212375.7338342
"362",566,3,659330.211955498,5212375.40050601
"363",568,55,659240.975116638,5212371.67935126
"364",569,126,659303.614769388,5212367.48792959
"365",574,13,658755.88783992,5212370.11853616
"366",575,2,658762.503709091,5212371.23390358
"367",576,86,658969.832847653,5212367.61768027
"368",577,59,659090.29042851,5212361.71710116
"369",579,7,659073.097886011,5212370.01963659
"370",580,56,659008.289567931,5212365.32328043
"371",581,5,658042.650986078,5212366.93396988
"372",582,1,659213.536743377,5212368.73394213
"373",583,2,658998.520995325,5212367.23396525
"374",584,10,659046.424503844,5212365.433993
"375",585,1,659211.536596883,5212366.73397296
"376",586,7,658790.791495213,5212364.59114886
"377",587,634,658898.422181299,5212349.23108824
"378",588,1,658873.511839481,5212365.73398838
"379",590,2961,659096.077617035,5212311.32516834
"380",591,76,659232.40654648,5212356.81307329
"381",592,1,658044.451117922,5212363.73401921
"382",593,892,658197.219033313,5212337.31738614
"383",594,726,658689.827587293,5212331.26206807
"384",596,59,658995.41907322,5212353.78502006
"385",598,1,658868.511473247,5212361.73405005
"386",603,14,658710.999936883,5212358.30553148
"387",604,14,658791.14866423,5212356.87698208
"388",605,20,658857.560671195,5212358.48410016
"389",606,208,659024.984472008,5212347.98426204
"390",608,27,658759.8368471,5212356.28968954
"391",610,21,659290.542383376,5212356.73412714
"392",611,8,658255.841600454,5212356.23413485
"393",612,34,659035.258980183,5212355.587086
"394",614,41,658768.016307963,5212353.68539365
"395",618,7,658250.18047154,5212355.87699749
